airline,flight_number,origin,destination,dept_time,arri_time,aircraft,MON,TUE,WED,THU,FRI,SAT,SUN
UA,771,LAX,PEK,,,B789,0,1,0,1,0,1,0
UA,770,PEK,LAX,,,B789,1,0,0,1,0,1,0
UA,888,SFO,PEK,,,B772,1,1,1,1,1,1,1
UA,889,PEK,SFO,,,B772,1,1,1,1,1,1,1
UA,857,SFO,PVG,,,B77W,1,1,1,1,1,1,1
UA,858,PVG,SFO,,,B77W,1,1,1,1,1,1,1
UA,198,LAX,PVG,,,B789,1,1,1,1,1,1,1
UA,199,PVG,LAX,,,B789,1,1,1,1,1,1,1
UA,152,LAX,HKG,,,B789,1,1,1,1,1,1,1
UA,153,HKG,LAX,,,B789,1,1,1,1,1,1,1
UA,801,LAX,HKG,,,B789,1,1,1,1,1,1,1
UA,802,HKG,LAX,,,B789,1,1,1,1,1,1,1
UA,869,SFO,HKG,,,B77W,1,1,1,1,1,1,1
UA,862,HKG,SFO,,,B77W,1,1,1,1,1,1,1
UA,877,SFO,HKG,,,B77W,1,1,1,1,1,1,1
UA,878,HKG,SFO,,,B77W,1,1,1,1,1,1,1
UA,165,GUM,TPE,,,B738,0,0,1,0,0,1,0
UA,166,TPE,GUM,,,B738,0,0,1,0,0,1,0
UA,853,SFO,TPE,,,B772,1,1,1,1,1,1,1
UA,852,TPE,SFO,,,B772,1,1,1,1,1,1,1
UA,871,SFO,TPE,,,B77W,1,1,1,1,1,1,1
UA,872,TPE,SFO,,,B77W,1,1,1,1,1,1,1
DL,281,SEA,PVG,,,A339,1,1,1,1,1,1,1
DL,282,PVG,SEA,,,A339,1,1,1,1,1,1,1
DL,388,DTW,PVG,,,A359,1,1,1,1,1,1,1
DL,389,PVG,DTW,,,A359,1,1,1,1,1,1,1
DL,38,LAX,PVG,,,A359,0,1,0,1,0,1,0
DL,39,PVG,LAX,,,A359,1,0,0,1,0,1,0
DL,69,SEA,TPE,,,A359,1,1,1,1,1,1,1
DL,68,TPE,SEA,,,A359,1,1,1,1,1,1,1
AA,127,DFW,PVG,,,B789,1,1,1,1,1,1,1
AA,128,PVG,DFW,,,B789,1,1,1,1,1,1,1
